date,state,cases,deaths,cases_per_capita,deaths_per_capita,state_population
3/6/20,Utah,3,0,0.09,0,"3,205,958"
3/6/20,Washington,86,12,1.13,0.16,"7,614,893"
3/6/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/7/20,Arizona,5,0,0.07,0,"7,278,717"
3/7/20,California,100,1,0.25,0.00,"39,512,223"
3/7/20,Colorado,8,0,0.14,0,"5,758,736"
3/7/20,District of Columbia,1,0,0.14,0,"705,749"
3/7/20,Florida,12,2,0.06,0.01,"21,477,737"
3/7/20,Georgia,7,0,0.07,0,"10,617,423"
3/7/20,Hawaii,1,0,0.07,0,"1,415,872"
3/7/20,Illinois,6,0,0.05,0,"12,671,821"
3/7/20,Indiana,1,0,0.01,0,"6,732,219"
3/7/20,Kansas,1,0,0.03,0,"2,913,314"
3/7/20,Kentucky,1,0,0.02,0,"4,467,673"
3/7/20,Maryland,3,0,0.05,0,"6,045,680"
3/7/20,Massachusetts,13,0,0.19,0,"6,892,503"
3/7/20,Minnesota,1,0,0.02,0,"5,639,632"
3/7/20,Missouri,1,0,0.02,0,"6,137,428"
3/7/20,Nebraska,14,0,0.72,0,"1,934,408"
3/7/20,Nevada,2,0,0.06,0,"3,080,156"
3/7/20,New Hampshire,4,0,0.29,0,"1,359,711"
3/7/20,New Jersey,4,0,0.05,0,"8,882,190"
3/7/20,New York,89,0,0.46,0,"19,453,561"
3/7/20,North Carolina,2,0,0.02,0,"10,488,084"
3/7/20,Oklahoma,1,0,0.03,0,"3,956,971"
3/7/20,Oregon,6,0,0.14,0,"4,217,737"
3/7/20,Pennsylvania,4,0,0.03,0,"12,801,989"
3/7/20,Rhode Island,3,0,0.28,0,"1,059,361"
3/7/20,South Carolina,2,0,0.04,0,"5,148,714"
3/7/20,Tennessee,1,0,0.01,0,"6,829,174"
3/7/20,Texas,19,0,0.07,0,"28,995,881"
3/7/20,Utah,3,0,0.09,0,"3,205,958"
3/7/20,Vermont,1,0,0.16,0,"623,989"
3/7/20,Virginia,1,0,0.01,0,"8,535,519"
3/7/20,Washington,110,16,1.44,0.21,"7,614,893"
3/7/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/8/20,Arizona,5,0,0.07,0,"7,278,717"
3/8/20,California,112,1,0.28,0.00,"39,512,223"
3/8/20,Colorado,8,0,0.14,0,"5,758,736"
3/8/20,Connecticut,1,0,0.03,0,"3,565,287"
3/8/20,District of Columbia,1,0,0.14,0,"705,749"
3/8/20,Florida,13,2,0.06,0.01,"21,477,737"
3/8/20,Georgia,11,0,0.10,0,"10,617,423"
3/8/20,Hawaii,2,0,0.14,0,"1,415,872"
3/8/20,Illinois,7,0,0.06,0,"12,671,821"
3/8/20,Indiana,2,0,0.03,0,"6,732,219"
3/8/20,Iowa,3,0,0.10,0,"3,155,070"
3/8/20,Kansas,1,0,0.03,0,"2,913,314"
3/8/20,Kentucky,4,0,0.09,0,"4,467,673"
3/8/20,Maryland,5,0,0.08,0,"6,045,680"
3/8/20,Massachusetts,28,0,0.41,0,"6,892,503"
3/8/20,Minnesota,2,0,0.04,0,"5,639,632"
3/8/20,Missouri,1,0,0.02,0,"6,137,428"
3/8/20,Nebraska,16,0,0.83,0,"1,934,408"
3/8/20,Nevada,4,0,0.13,0,"3,080,156"
3/8/20,New Hampshire,4,0,0.29,0,"1,359,711"
3/8/20,New Jersey,6,0,0.07,0,"8,882,190"
3/8/20,New York,106,0,0.54,0,"19,453,561"
3/8/20,North Carolina,2,0,0.02,0,"10,488,084"
3/8/20,Oklahoma,1,0,0.03,0,"3,956,971"
3/8/20,Oregon,13,0,0.31,0,"4,217,737"
3/8/20,Pennsylvania,6,0,0.05,0,"12,801,989"
3/8/20,Rhode Island,3,0,0.28,0,"1,059,361"
3/8/20,South Carolina,6,0,0.12,0,"5,148,714"
3/8/20,Tennessee,3,0,0.04,0,"6,829,174"
3/8/20,Texas,23,0,0.08,0,"28,995,881"
3/8/20,Utah,3,0,0.09,0,"3,205,958"
3/8/20,Vermont,1,0,0.16,0,"623,989"
3/8/20,Virginia,2,0,0.02,0,"8,535,519"
3/8/20,Washington,141,19,1.85,0.25,"7,614,893"
3/8/20,Wisconsin,1,0,0.02,0,"5,822,434"
3/9/20,Arizona,6,0,0.08,0,"7,278,717"
3/9/20,California,172,2,0.44,0.01,"39,512,223"
3/9/20,Colorado,12,0,0.21,0,"5,758,736"
3/9/20,Connecticut,2,0,0.06,0,"3,565,287"
3/9/20,District of Columbia,4,0,0.57,0,"705,749"
3/9/20,Florida,14,2,0.07,0.01,"21,477,737"
3/9/20,Georgia,17,0,0.16,0,"10,617,423"
3/9/20,Hawaii,2,0,0.14,0,"1,415,872"
3/9/20,Illinois,11,0,0.09,0,"12,671,821"
3/9/20,Indiana,4,0,0.06,0,"6,732,219"
3/9/20,Iowa,8,0,0.25,0,"3,155,070"
3/9/20,Kansas,1,0,0.03,0,"2,913,314"
3/9/20,Kentucky,5,0,0.11,0,"4,467,673"
3/9/20,Louisiana,1,0,0.02,0,"4,648,794"
3/9/20,Maryland,6,0,0.10,0,"6,045,680"
3/9/20,Massachusetts,41,0,0.59,0,"6,892,503"
3/9/20,Minnesota,2,0,0.04,0,"5,639,632"
3/9/20,Missouri,1,0,0.02,0,"6,137,428"
3/9/20,Nebraska,16,0,0.83,0,"1,934,408"
3/9/20,Nevada,4,0,0.13,0,"3,080,156"
3/9/20,New Hampshire,4,0,0.29,0,"1,359,711"
3/9/20,New Jersey,11,0,0.12,0,"8,882,190"
3/9/20,New York,142,0,0.73,0,"19,453,561"
3/9/20,North Carolina,7,0,0.07,0,"10,488,084"
3/9/20,Ohio,3,0,0.03,0,"11,689,100"
3/9/20,Oklahoma,1,0,0.03,0,"3,956,971"
3/9/20,Oregon,13,0,0.31,0,"4,217,737"
3/9/20,Pennsylvania,10,0,0.08,0,"12,801,989"
3/9/20,Rhode Island,3,0,0.28,0,"1,059,361"
3/9/20,South Carolina,7,0,0.14,0,"5,148,714"
3/9/20,Tennessee,4,0,0.06,0,"6,829,174"
3/9/20,Texas,24,0,0.08,0,"28,995,881"
3/9/20,Utah,3,0,0.09,0,"3,205,958"
3/9/20,Vermont,1,0,0.16,0,"623,989"
3/9/20,Virginia,5,0,0.06,0,"8,535,519"
3/9/20,Washington,179,22,2.35,0.29,"7,614,893"
3/9/20,Wisconsin,2,0,0.03,0,"5,822,434"
3/10/20,Arizona,6,0,0.08,0,"7,278,717"
3/10/20,California,179,3,0.45,0.01,"39,512,223"
3/10/20,Colorado,17,0,0.30,0,"5,758,736"
3/10/20,Connecticut,2,0,0.06,0,"3,565,287"
3/10/20,District of Columbia,4,0,0.57,0,"705,749"
3/10/20,Florida,23,2,0.11,0.01,"21,477,737"
3/10/20,Georgia,22,0,0.21,0,"10,617,423"
3/10/20,Hawaii,2,0,0.14,0,"1,415,872"
3/10/20,Illinois,19,0,0.15,0,"12,671,821"
3/10/20,Indiana,6,0,0.09,0,"6,732,219"
3/10/20,Iowa,13,0,0.41,0,"3,155,070"
